research_cluster,source,year,established_result,overlap_with_present_work,not_new_in_present_work,remaining_distinction,effect_on_claim,source_url
Rationally exact / pole-aware quadrature,"Walter Gautschi, Gauss-type quadrature rules for rational functions",1993,"Quadrature rules may be designed to integrate rational functions chosen to match important poles, not only polynomials.",Direct overlap with the motivation for exploiting a nearby pole.,Pole-aware and rationally exact quadrature.,"Continuum relative minimax over Lorentzian widths, positive variable-moment path, exact mixed selector, validated decision map.",Remove any implication that structure-aware pole matching is new.,https://arxiv.org/abs/math/9307223
Generalized Gaussian quadrature / Chebyshev systems,"Daan Huybrechs, On the computation of Gaussian quadrature rules for Chebyshev sets of linearly independent functions",2017,"For Chebyshev systems, positive interior-node Gaussian-type rules can integrate 2l functions with l nodes; complete systems support stepwise increases in exactness.",Positive exactness hierarchies and Gaussian endpoints are already embedded in general moment-space/Chebyshev-system theory.,The generic idea of a positive exactness hierarchy or a Gaussian endpoint.,The continuum Stieltjes minimax objective and the rule-selection problem under a mixed smooth/structural model.,"Treat the feasible-range and endpoint theorem as structural characterization within the model, not stand-alone novelty.",https://arxiv.org/abs/1710.11244
Classical rational minimax approximation,"Filip, Nakatsukasa, Trefethen, Beckermann, Rational minimax approximation via adaptive barycentric representations",2017,"Rational minimax approximation, Remez-type algorithms, equioscillation, and uniqueness under standard type/defect conditions are classical and computationally mature.",The numerical use of equioscillation and minimax optimization.,Rational minimax or equioscillation itself.,A tailored positive Stieltjes/quadrature subclass with matched moments and a class-specific zero-count certificate.,"Describe the alternation theorem as a specialization to the admissible class, not a new general minimax principle.",https://arxiv.org/abs/1705.10132
Interpolation-constrained rational minimax,"Lei-Hong Zhang and Ya-Nan Zhang, b-d-Lawson: a method for the interpolation constrained rational minimax approximation",2025,"Rational minimax approximation under interpolation constraints has an established literature, including derivative constraints, existence/uniqueness questions, and numerical algorithms.","Matching Laurent coefficients at infinity is related, after z=1/s, to confluent interpolation constraints.",Constrained rational minimax in general.,"Positive-residue Stieltjes realization as a quadrature rule, variable moment depth, continuum Lorentzian objective, selector.",Make this the closest approximation-theory comparator and avoid claiming that constraints plus minimax are unprecedented.,https://arxiv.org/abs/2502.10665
Quadrature derived from rational approximation,"Andrew Horning and Lloyd N. Trefethen, Quadrature formulas from rational approximations",2025,Quadrature nodes and weights can be obtained from poles and residues of rational approximations to Cauchy transforms; Gauss quadrature is linked to Padé approximation at infinity.,Very close conceptual connection between Stieltjes/Cauchy rational approximation and quadrature.,"The broad bridge from rational approximation of a transform to quadrature, or the Padé/Gauss connection.","Positivity imposed throughout, variable polynomial-moment prefix, relative minimax over a continuum, exact mixed selector.",Cite prominently in the Introduction and Discussion; recenter novelty on the combined model-aware design.,https://arxiv.org/abs/2507.14971
Positive quadrature geometry,"van den Bos and Sanderse, A geometric approach for the addition of nodes to an interpolatory quadrature rule with positive weights",2019,"The geometry of preserving positive weights under node addition, removal, and replacement is established; nested positive rules are actively constructed.",Positivity as a geometric quadrature constraint.,Positive quadrature geometry or nesting.,Fixed-node-budget minimax trade-off in a Stieltjes response class.,"Retain positivity as a modeling restriction, not novelty.",https://arxiv.org/abs/1902.07477
Positive exact cubature,"Jan Glaubitz, Constructing Positive Interpolatory Cubature Formulas",2020,"Positive formulas exact on general finite-dimensional function spaces can be constructed, building on Tchakaloff-type existence.",Positive weights and exactness constraints.,Positive exact quadrature/cubature.,Uniform structural minimax and an explicit risk-based selector.,Do not list positivity plus exactness as a primary novelty.,https://arxiv.org/abs/2009.11981
Optimization-based moment matching,"Keshavarzzadeh, Kirby, Narayan, Generation of Nested Quadrature Rules for Generic Weight Functions via Numerical Optimization",2018,"Moment-matching quadrature systems can be generated by nonlinear optimization, including nested rules for general weights.",Nonlinear optimization under moment constraints.,Optimization-based quadrature moment matching.,Remez/minimax structural objective and exact selector across moment depths.,"Treat the optimizer as implementation, not core novelty.",https://arxiv.org/abs/1808.03707
Markov/Stieltjes rational approximation,"Beckermann, Bisch, Luce, On the rational approximation of Markov functions",2021,Relative rational approximation and optimized interpolation for Markov functions are established.,Same broad Markov/Stieltjes analytic geometry and relative error.,Relative rational approximation of Markov functions.,Positive quadrature realization and mixed-class rule selection.,Use as structural approximation context.,https://arxiv.org/abs/2106.05098
Worst-case analytic quadrature,"Goda, Kazashi, Tanaka, How sharp are error bounds? Lower bounds on quadrature worst-case errors for analytic functions",2024,Worst-case error analysis for analytic function classes and comparisons of classical quadratures are established.,Worst-case class-based quadrature analysis.,Worst-case analytic quadrature analysis.,Exact coefficient-box dual norm combined additively with a Stieltjes structural component to select among constrained rules.,Treat the coefficient-box identity as a transparent lemma; emphasize the combined selector and certified partition.,https://arxiv.org/abs/2401.07196
Positive-weight kernel quadrature,"Satoshi Hayakawa, Convex-Geometric Error Bounds for Positive-Weight Kernel Quadrature",2026,Positive-weight worst-case kernel quadrature has modern convex-geometric error theory and constructive algorithms.,Positivity plus worst-case error objectives.,Positive-weight worst-case quadrature broadly.,Deterministic Stieltjes structural family and a finite hierarchy selected by an exact mixed model.,"Add as current broad context, not a direct competitor.",https://arxiv.org/abs/2605.05705
Moment-theoretic Gaussian quadrature,"Nailwal and Zalar, Gaussian Quadratures with prescribed nodes via moment theory",2024,Moment theory continues to characterize constrained/minimal Gaussian quadrature with prescribed nodes.,Moment constraints and Gaussian structure.,Moment-theoretic characterization of quadrature.,Continuum structural minimax with positive movable nodes/weights and model-aware selection.,Keep the dimension theorem as model-specific structure.,https://arxiv.org/abs/2412.20849
