check,passed,severity,evidence
Round43 nodes hash matches Round50 recorded input,True,critical,983bf6eb56c7812d13d8337b912e2dbaa6f1b542146a059c601f5bba94c5c70c
Round43 alternation hash matches Round50 recorded input,True,critical,fbe7d90351eed29cb3b6972596e590debc951d08ca17ee908c2c91ef6e05062a
Complete hierarchy has 21 levels,True,critical,21
Complete hierarchy independent audit passes,True,critical,"{""maximum_moment_residual"": 6.27844981593e-16, ""maximum_extremum_value_discrepancy"": 5.53553065392e-15, ""maximum_internal_derivative_residual"": 1.47230528639e-13}"
n=4 hierarchy has nine levels,True,critical,9
Independent AD verifier certifies six systems,True,critical,6
Independent AD verdicts agree with Round50,True,critical,max q-norm relative difference=0.26368335144056315
Independent verifier does not import Round50 module,True,critical,static source scan
Independent verifier uses automatic differentiation,True,critical,Dual/system_dual present
Round49 rerun matches frozen maximum_chebyshev_degree,True,critical,"rerun=500, frozen=500"
Round49 rerun matches frozen selector_maximum_depth,True,critical,"rerun=24, frozen=24"
Round49 rerun matches frozen structural_rules_certified,True,critical,"rerun=9, frozen=9"
Round49 rerun matches frozen visited_selector_cells,True,critical,"rerun=344615, frozen=344615"
Round49 rerun matches frozen certified_leaf_count,True,critical,"rerun=104467, frozen=104467"
Round49 rerun matches frozen unresolved_leaf_count,True,critical,"rerun=67841, frozen=67841"
Round49 rerun matches frozen certified_fraction,True,critical,"rerun=0.995956361293792724609375, frozen=0.995956361293792724609375"
Round49 rerun matches frozen unresolved_fraction,True,critical,"rerun=0.004043638706207275390625, frozen=0.004043638706207275390625"
Round50 rerun contains all six systems,True,critical,"[(2, 3), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7)]"
Round50 original certifier rerun reproduces all verdicts,True,critical,6/6 CERTIFIED
Round50 original rerun q-norms are stable,True,critical,max relative difference=0.0
Precision-fixed Round50 certifier covers all six systems,True,critical,"[(2, 3), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7)]"
Precision-fixed Round50 certifier certifies all six,True,critical,6/6 CERTIFIED
Precision-fixed Newton centers have high-precision exact-endpoint residuals,True,critical,max residual=1.7254626003080606e-180
Precision-fixed certifier avoids import-time mpmath endpoint construction,True,critical,endpoint strings instantiated inside eval_mp
Round50 global minimax rerun certifies all six,True,critical,True
Round50 global minimax rerun agrees with frozen,True,critical,boolean verdict comparison
Rebuilt manuscript has 25 pages,True,critical,25
Rebuilt and frozen manuscript page counts agree,True,critical,"original=25, rebuilt=25"
Rebuilt manuscript text matches frozen PDF,True,critical,"original=ae95e4440163c23d1eea8ecd8b41c3c963a862a01ee0342ad02f64bf791c64b9, rebuilt=ae95e4440163c23d1eea8ecd8b41c3c963a862a01ee0342ad02f64bf791c64b9"
Manuscript compile has no undefined references/citations,True,critical,count=0
Manuscript compile has no overfull hboxes,True,major,count=0
Manuscript contains Round49 certified percentage rounded for manuscript,True,major,99.595636
Manuscript contains Round49 unresolved percentage rounded for manuscript,True,major,0.404364
Manuscript contains Round49 visited cells,True,major,"344,615"
Manuscript contains manuscript version marker,True,major,Version 2.4
